foodname,foodcategory,city,materials,description,hazirlama_suresi_dk,pisirme_suresi_dk,toplam_sure_dk,porsiyon_sayisi,zorluk,vejetaryen,vegan,etiketler,gluten,pisirme_yontemi
pilav,Türk Mutfağı – Pilav,Istanbul,"pirinç,tereyağı,su,tuz","Pirinci iyice yıkadıktan sonra, tereyağı ile orta ateşte kavrulur. Ardından su ve tuz eklenir, tencere kapağı kapatılarak kısık ateşte demlenmeye bırakılır. Pirinç suyunu çekene kadar pişirilir. Piştikten sonra karıştırılarak sıcak olarak servis edilir.",19,20,39,4.0,Orta,Evet,Hayır,"orta, vejetaryen",Glütensiz,Tencere
cacık,Türk Mutfağı – Sos,Istanbul,"yoğurt,salatalık,nane,sarımsak","Yoğurt pürüzsüz hale getirilir, salatalık rende veya küçük küpler halinde doğranır. Ezilmiş sarımsak ve ince kıyılmış nane yoğurda eklenir. Tüm malzemeler iyice karıştırılır. Buzdolabında soğutulduktan sonra meze olarak servis edilir.",33,20,53,6.0,Orta,Evet,Hayır,"orta, kalabalık aileye uygun, vejetaryen",Glütensiz,Tencere
imambayıldı,Türk Mutfağı – Sebze Yemeği,İzmir,"patlıcan,domates,soğan,sarımsak,zeytinyağı","Patlıcanlar uzunlamasına kesilip, tuzla ovularak acısı alınır ve hafifçe kızartılır. Ayrı bir tencerede soğan, sarımsak, domates ve zeytinyağı kavrulur. Patlıcanlar bu karışıma eklenir, baharatlarla tatlandırılır. Kısık ateşte, tüm malzemelerin birbirine karışması sağlanır ve ılık olarak servis edilir.",17,20,37,6.0,Zor,Evet,Evet,"zor, kalabalık aileye uygun, vegan",Glütensiz,Tava
menemen,Türk Mutfağı – Kahvaltı,İzmir,"domates,yumurta,biber,soğan","Soğan ve biber ince ince doğranarak zeytinyağında hafifçe kavrulur. Ardından küp doğranmış domates eklenir ve yumuşayıncaya kadar pişirilir. Yumurtalar kırılarak karıştırılır, baharatlarla tatlandırılır. Tüm malzemeler birkaç dakika daha pişirildikten sonra sıcak olarak servis edilir.",12,5,17,4.0,Kolay,Evet,Hayır,"hızlı, kolay, vejetaryen",Glütensiz,Tencere
simit,Türk Mutfağı – Sokak Lezzeti,Istanbul,"un,susam,su,tuz","Hamur, un, su ve tuz karışımından yoğrulur, mayalanması için bekletilir. Şekil verildikten sonra halka formuna sokulur. Üzerine susam serpilir ve taş fırında yüksek sıcaklıkta pişirilir. Dışı çıtır, içi yumuşak simit olarak sunulur.",23,20,43,6.0,Zor,Evet,Evet,"zor, kalabalık aileye uygun, vegan",Glütenli,Fırın
kurabiye,Türk Mutfağı – Tatlı,Ankara,"un,şeker,tereyağı,yumurta","Un, şeker, tereyağı ve yumurta karıştırılarak yumuşak bir hamur elde edilir. Hamur küçük parçalar halinde yuvarlanır ve fırın tepsisine dizilir. Önceden ısıtılmış fırında, kenarları hafifçe kızarana kadar pişirilir. Soğuduktan sonra çayla birlikte servis edilir.",28,25,53,4.0,Orta,Evet,Hayır,"orta, vejetaryen, tatlı",Glütenli,Fırın
kek,Türk Mutfağı – Tatlı,Istanbul,"un,şeker,yumurta,süt,kabartma tozu","Tüm kuru malzemeler (un, kabartma tozu) ile yumurta, şeker ve süt iyice çırpılır. Hamur kek kalıbına dökülür ve önceden ısıtılmış fırında kabarıp altın rengini alana kadar pişirilir. Fırından çıkar çıkmaz dilimlenerek servis edilir. Üzerine isteğe bağlı pudra şekeri serpilebilir.",29,25,54,4.0,Orta,Evet,Hayır,"orta, vejetaryen, tatlı",Glütenli,Fırın
baklava,Türk Mutfağı – Tatlı,Gaziantep,"yufka,ceviz,şerbet,tereyağı","İnce yufkalar teker teker açılır, her katına eritilmiş tereyağı sürülür. Yufkalar arasında ceviz serpilir ve katlar dikkatlice üst üste konur. Önceden hazırlanmış ılık şerbet yufkanın üzerine dökülür. Fırında hafifçe kızartıldıktan sonra, şerbeti çekmesi için dinlendirilir ve dilimlenerek servis edilir.",31,25,56,4.0,Orta,Hayır,Hayır,"orta, tatlı",Glütenli,Fırın
döner dürüm,Türk Mutfağı – Sokak Lezzeti,Istanbul,"döner,lavaş,domates,soğan,maydanoz","Döner et, döner ocağında yavaşça pişirildikten sonra ince dilimler halinde kesilir. Taze lavaş ekmeği içerisine alınır. Üzerine dilimlenmiş domates, soğan ve ince kıyılmış maydanoz eklenir. Rulo şeklinde sarılarak sıcak servis edilir.",23,20,43,4.0,Orta,Hayır,Hayır,orta,Glütenli,Tencere
iskender kebap,Türk Mutfağı – Kebap,Bursa,"döner,pilav,yoğurt,domates sosu","Döner et dilimleri, pilavın üzerine yerleştirilir. Üzerine bolca yoğurt dökülür ve domates sosu gezdirilir. Tüm malzemeler sıcak olarak servis edilir. Yanında tereyağlı lavaş ile tamamlanır.",22,20,42,6.0,Zor,Hayır,Hayır,"zor, kalabalık aileye uygun",Glütensiz,Tencere
su böreği,Türk Mutfağı – Börek,Istanbul,"yufka,peynir,maydanoz,yumurta,süt","Yufkalar, tereyağı ile yağlanır ve aralarına peynir, maydanoz, yumurta karışımı konur. Katlar özenle üst üste dizilir ve süt ile ıslatılır. Fırında hafifçe pişirilir, su böreğinin yumuşak dokusu korunur. Sıcak olarak dilimlenip servis edilir.",20,20,40,6.0,Orta,Evet,Hayır,"orta, kalabalık aileye uygun, vejetaryen",Glütenli,Fırın
pide,Türk Mutfağı – Pide,Trabzon,"hamur,peynir,sucuk,yumurta","Hamur, un ve su ile yoğrulur, mayalanması için dinlendirilir. İnce uzun şekilde açılır ve üzerine rendelenmiş peynir, dilimlenmiş sucuk ve yumurta kırılır. Kenarları kıvrılarak kapatılır ve taş fırında yüksek sıcaklıkta pişirilir. Sıcak olarak dilimlenip servis edilir.",24,20,44,4.0,Orta,Hayır,Hayır,orta,Glütenli,Fırın
çiğ köfte,Türk Mutfağı – Çiğ Köfte,Şanlıurfa,"ince bulgur,biber salçası,domates,yeşillik","İnce bulgur, biber salçası ve su ile yoğrulur. Küçük domates parçaları ve doğranmış yeşillikler eklenir. Tüm malzemeler iyice yoğrularak acı ve aromatik bir karışım elde edilir. Yoğrulmuş çiğ köfte, marul yaprakları üzerinde şekillendirilerek servis edilir.",22,20,42,4.0,Zor,Evet,Evet,"zor, vegan",Glütenli,Tencere
helva,Türk Mutfağı – Tatlı,Gaziantep,"un,tereyağı,şeker,su","Un, eritilmiş tereyağı ile kavrulur, altın rengini alana kadar pişirilir. Şeker ve su ilave edilerek sürekli karıştırılır. Helva, kıvam alıp soğumaya bırakılmadan hemen sıcak servis edilir. Üzerine isteğe bağlı fıstık serpilebilir.",19,25,44,4.0,Orta,Evet,Hayır,"orta, vejetaryen, tatlı",Glütenli,Fırın
ayran aşı çorbası,Türk Mutfağı – Çorba,Kayseri,"yoğurt,nohut,bulgur,nane","Yoğurt çırpılır ve içine haşlanmış nohut ile ince bulgur eklenir. Karışım pürüzsüz hale gelene kadar çırpılır. Ayran aşı çorbası, nane ve baharatlarla tatlandırılır. Kısık ateşte birkaç dakika ısıtıldıktan sonra sıcak olarak servis edilir.",16,15,31,4.0,Orta,Evet,Hayır,"orta, vejetaryen, çorba",Glütenli,Tencere
etli ekmek,Türk Mutfağı – Ekmek,Konya,"hamur,kıyma,soğan,biber","Hamur, un ve su ile yoğrulur, ince açılır. Üzerine baharatlı kıyma, ince doğranmış soğan ve biber serpilir. Kenarları hafifçe kıvrılarak kapatılır ve fırında yüksek sıcaklıkta pişirilir. Sıcak olarak dilimlenip servis edilir.",30,20,50,4.0,Orta,Hayır,Hayır,orta,Glütenli,Fırın
tepsi kebabı,Türk Mutfağı – Kebap,Adana,"kıyma,patates,biber,domates","Kıyma, patates, biber ve domates kat kat ince dilimler halinde kesilir. Tüm malzemeler geniş bir tepsiye dizilir, aralarına baharatlar eklenir. Fırında ağır ateşte pişirilir; malzemeler birbirine karışıp lezzetli bir bütün oluşturur. Sıcak olarak servis edilir.",21,20,41,6.0,Zor,Hayır,Hayır,"zor, kalabalık aileye uygun",Glütensiz,Fırın
fırın makarna,Türk Mutfağı – Makarna,Istanbul,"makarna,kaşar peyniri,domates,beşamel","Haşlanmış makarna, kaşar peyniri ve domates sosu ile karıştırılır. Üzerine ev yapımı beşamel sos dökülür. Tüm malzemeler fırın tepsisine yayılır ve yüksek sıcaklıkta pişirilir. Fırından çıkar çıkmaz dilimlenip sıcak servis edilir.",22,20,42,6.0,Zor,Evet,Hayır,"zor, kalabalık aileye uygun, vejetaryen",Glütenli,Fırın
kabak tatlısı,Türk Mutfağı – Tatlı,Ankara,"kabak,şeker,ceviz,tarçın","Kabak dilimleri, şeker ile karıştırılarak tencerede pişirilir. Yumuşayana kadar kısık ateşte demlendirilir. Üzerine dövülmüş ceviz ve tarçın serpilir. Soğuduktan sonra tatlı olarak servis edilir.",30,25,55,4.0,Orta,Evet,Evet,"orta, vegan, tatlı",Glütensiz,Fırın
sütlaç,Türk Mutfağı – Tatlı,Istanbul,"pirinç,süt,şeker,vanilya",Pirincin süt ve şeker ile birlikte tencereye alınarak kaynaması sağlanır. Kısık ateşte süt çekene kadar pişirilir. Fırınlanarak üzeri hafifçe kızartılır ve vanilya ile tatlandırılır. Ilık veya soğuk olarak servis edilir.,33,25,58,4.0,Orta,Evet,Hayır,"orta, vejetaryen, tatlı",Glütensiz,Fırın
revani,Türk Mutfağı – Tatlı,Istanbul,"un,şeker,yumurta,irmik,limon","Un, irmik, şeker ve yumurta karıştırılarak hamur elde edilir. Hamur kalıba dökülüp önceden ısıtılmış fırında pişirilir. Pişen revani üzerine limon şerbeti dökülür ve şerbetin çekmesi için dinlendirilir. Dilimlenip servis edilir.",18,25,43,4.0,Orta,Evet,Hayır,"orta, vejetaryen, tatlı",Glütenli,Fırın
spagetti,İtalyan-Türk Füzyonu,Istanbul,"makarna,domates sosu,köfte,peynir","Makarnalar haşlanır ve süzülür. Köfte, baharatlarla hazırlanıp kızgın yağda kızartılır. Domates sosu, haşlanmış makarna ve kızarmış köfte ile karıştırılır. Üzerine rendelenmiş peynir eklenip sıcak olarak servis edilir.",26,20,46,4.0,Orta,Hayır,Hayır,orta,Glütenli,Tencere
hamburger,Amerikan Mutfağı,New York,"ekmek,köfte,peynir,domates,marul","Izgara köfte, tuz ve karabiberle tatlandırılır. Ekmekler hafifçe ısıtılır, altına taze marul, dilimlenmiş domates ve erimiş peynir konur. Köfte ekmek arasına yerleştirilir. Tüm malzemelerle birlikte sandviç şeklinde paketlenerek servis edilir.",15,20,35,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütenli,Tencere
falafel,Orta Doğu Mutfağı,Beirut,"nohut,soğan,yeşillik,baharat","Haşlanmış nohut, sarımsak, soğan ve yeşillikler blendırda püre haline getirilir. Baharatlar eklenip yoğrulup küçük toplar oluşturulur. Kızgın yağda altın rengi alana kadar kızartılır. Dışı çıtır, içi yumuşak falafel meze olarak servis edilir.",33,20,53,4.0,Zor,Evet,Evet,"zor, vegan",Glütensiz,Tava
taco,Meksika Mutfağı,Mexico City,"mısır ekmeği,et,domates,marul,peynir","Mısır ekmeği hafifçe ısıtılır, içine baharatlı olarak pişirilmiş et yerleştirilir. Üzerine taze doğranmış domates, marul ve rendelenmiş peynir eklenir. Küçük porsiyonlar halinde katlanarak servis edilir. Yanında salsa sosu ile tamamlanır.",30,20,50,4.0,Orta,Hayır,Hayır,orta,Glütensiz,Tencere
kumpir,Türk Mutfağı – Sokak Lezzeti,Istanbul,"patates,salam,peynir,zeytin,kısır","Büyük boy patates fırında iyice pişirilir, içi açılır. İçine dilimlenmiş salam, erimiş peynir, zeytin ve kısır eklenir. Malzemeler iyice karıştırılarak doldurulur. Sıcak olarak, yanına ek soslarla servis edilir.",16,20,36,6.0,Orta,Evet,Hayır,"orta, kalabalık aileye uygun, vejetaryen",Glütensiz,Fırın
lasagna,İtalyan Mutfağı,Bologna,"makarna,yemeklik et,beşamel sos,peynir","Kat kat yerleştirilen haşlanmış makarna, sotelenmiş yemeklik et ve beşamel sos hazırlanır. Üzerine kaşar peyniri rendelenir ve fırına verilir. Fırında kabarınca dilimlenir. Sıcak olarak servis edilir.",34,20,54,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütenli,Fırın
kısır,Türk Mutfağı – Salata,Adana,"bulgur,tuz,domates,salatalık,nane,limon","İnce çekilmiş bulgur, sıcak su ile ıslatılır. Küçük doğranmış domates, salatalık, nane ve limon suyu eklenir. Malzemeler iyice karıştırılarak soğuk olarak dinlendirilir. Hafif ve ferahlatıcı bir salata olarak sunulur.",6,0,6,4.0,Kolay,Evet,Evet,"hızlı, kolay, vegan, salata",Glütenli,Tencere
muffin,Amerikan Mutfağı,New York,"un,yumurta,şeker,vanilya","Kuru malzemeler un ve şeker, ıslak malzemeler yumurta ve vanilya ile karıştırılır. Hamur muffin kalıplarına dökülür ve önceden ısıtılmış fırında kabarana kadar pişirilir. Fırından çıkar çıkmaz soğumaya bırakılır. Kahvaltı veya atıştırmalık olarak servis edilir.",22,20,42,4.0,Orta,Evet,Hayır,"orta, vejetaryen",Glütenli,Fırın
sushi,Japon Mutfağı,Tokyo,"pirinç,balık,soya sosu,wasabi","Sirkeli pirinç özenle hazırlanır ve soğutulur. Taze balık dilimleri, pirincin üzerine dikkatlice yerleştirilir. Deniz yosunu ile rulolar oluşturulur. Wasabi ve soya sosu eşliğinde soğuk olarak servis edilir.",16,20,36,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütensiz,Tencere
çörek,Türk Mutfağı – Hamur İşi,Ankara,"un,yumurta,tuz,tereyağı","Un, yumurta, tuz ve eritilmiş tereyağı ile yoğrulur, mayalanması için dinlendirilir. Şekil verilip fırın tepsisine dizilir. Önceden ısıtılmış fırında altın rengi alana kadar pişirilir. Sıcak olarak servis edilir.",25,20,45,6.0,Orta,Evet,Hayır,"orta, kalabalık aileye uygun, vejetaryen",Glütenli,Fırın
gözleme,Türk Mutfağı – Gözleme,Aydın,"yufka,peynir,ıspanak,zeytinyağı","Yufka incecik açılır, içine rendelenmiş peynir ve ince doğranmış ıspanak konur. Yufka ikiye katlanarak sac üzerinde veya tavada her iki yüzü de pişirilir. Altın rengi alana kadar pişirildikten sonra sıcak olarak kesilip servis edilir.",27,20,47,4.0,Zor,Evet,Hayır,"zor, vejetaryen",Glütenli,Tava
yoğurtlu kabak,Türk Mutfağı,Istanbul,"kabak,yoğurt,sarımsak,zeytinyağı","Kabaklar haşlanır ve dilimlenir, soğumaya bırakılır. Yoğurt, ezilmiş sarımsak ve zeytinyağı karıştırılarak sos hazırlanır. Kabak dilimleri yoğurtlu sos ile nazikçe harmanlanır. Soğuk olarak meze şeklinde servis edilir.",21,20,41,4.0,Orta,Evet,Hayır,"orta, vejetaryen",Glütensiz,Tencere
börek (ıspanak),Türk Mutfağı – Börek,Istanbul,"yufka,peynir,ıspanak,tereyağı","Yufkalar açılır ve üzerine ince doğranmış ıspanak, beyaz peynir ve eritilmiş tereyağı konur. Katlar özenle sarılır ve rulo haline getirilir. Dilimlenip fırında altın rengi alıncaya kadar pişirilir. Sıcak olarak servis edilir.",17,20,37,6.0,Zor,Evet,Hayır,"zor, kalabalık aileye uygun, vejetaryen",Glütenli,Fırın
fırın tavuk,Türk Mutfağı – Ana Yemek,Istanbul,"tavuk,limon,soğan,patates","Tavuk, limon suyu, soğan ve dilimlenmiş patates ile marine edilir. Fırın tepsisine yerleştirilir ve önceden ısıtılmış fırında, altın rengi alana kadar pişirilir. Piştikten sonra dilimlenip sıcak olarak servis edilir. Yanında yeşil salata ile tamamlanır.",32,30,62,4.0,Orta,Hayır,Hayır,"uzun süreli, orta",Glütensiz,Fırın
beşamel soslu karnıbahar,Türk Mutfağı – Sebze Yemeği,Istanbul,"karnıbahar,beşamel sos,tereyağı,peynir","Karnıbahar küçük parçalara ayrılır ve haşlanır. Ayrı bir sos tenceresinde beşamel sos hazırlanır; içine eritilmiş tereyağı ve rendelenmiş peynir eklenir. Haşlanmış karnıbahar, sos ile karıştırılarak fırın tepsisine dizilir. Fırında hafifçe kızarana kadar pişirildikten sonra sıcak olarak servis edilir.",25,20,45,6.0,Orta,Evet,Hayır,"orta, kalabalık aileye uygun, vejetaryen",Glütensiz,Fırın
mücver,Türk Mutfağı – Meze,İzmir,"kabak,un,yumurta,tuz,soğan","Rendelenmiş kabak, un, yumurta ve ince doğranmış soğan karıştırılır. Tuz ve baharatlarla tatlandırılır. Karışım top şeklinde veya küçük yassı mücverler haline getirilir. Kızgın yağda kızartılıp sıcak olarak servis edilir.",12,5,17,2.0,Kolay,Evet,Hayır,"hızlı, kolay, tek/çift kişilik, vejetaryen, meze",Glütenli,Tencere
şiş kebap,Türk Mutfağı – Kebap,Adana,"et,biber,tuz,soğan","Kıyılmış et, doğranmış biber ve soğan, tuz ve baharatlarla yoğrulur. Karışım şişlere dizilir ve mangalda ya da fırında yüksek ısıda pişirilir. Etin dışı kızarıp içi yumuşak kalması sağlanır. Sıcak olarak lavaş ile servis edilir.",28,20,48,4.0,Orta,Hayır,Hayır,orta,Glütensiz,Fırın
balık ekmek,Türk Mutfağı – Sokak Lezzeti,Istanbul,"balık,ekmek,soğan,limon","Taze balık fileto, tuz ve baharatlarla marine edilir ve ızgarada pişirilir. Ekmek hafifçe ısıtılır, üzerine ince dilimlenmiş soğan ve limon dilimleri konur. Pişen balık ekmek arasına yerleştirilir. Sıcak olarak sokak lezzeti şeklinde servis edilir.",17,20,37,6.0,Zor,Hayır,Hayır,"zor, kalabalık aileye uygun",Glütenli,Izgara
közlenmiş patlıcan salatası,Türk Mutfağı – Salata,Adana,"patlıcan,domates,soğan,zeytinyağı","Patlıcanlar közde veya fırında kabukları yanacak şekilde pişirilir. Soğuduktan sonra kabukları soyulur ve küp doğranır. Domates ve soğan ince dilimlenir, zeytinyağı ile karıştırılır. Közlenmiş patlıcan eklenip taze nane ile servis edilir.",10,0,10,4.0,Kolay,Evet,Evet,"hızlı, kolay, vegan, salata",Glütensiz,Fırın
etli pilav,Türk Mutfağı – Pilav,Istanbul,"pirinç,et,soğan,biber","Pirincin üzerine, önceden sotelenmiş et, soğan ve biber eklenir. Tereyağı ile kavrulan pirinç, et suyunda demlenir. Malzemeler iyice karışınca sıcak olarak servis edilir. Yanında yoğurt ile tamamlanır.",15,20,35,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütensiz,Tencere
spaghetti carbonara,İtalyan Mutfağı,Rome,"spagetti,pancetta,yumurta,parmesan,karabiber","Spagetti haşlanır ve süzülür. Kızartılmış pancetta, yumurta ve parmesan karışımı hızlıca karıştırılır. Haşlanmış makarna bu karışıma eklenir, karabiber serpilir. Kremasız, orijinal tarzda hemen servis edilir.",21,20,41,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütensiz,Tencere
risotto,İtalyan Mutfağı,Milan,"arborio pirinci,beyaz şarap,parmesan,tereyağı,soğan,et suyu","Arborio pirinci tereyağı ve ince doğranmış soğanla kavrulur. Beyaz şarap eklenip alkolü uçurulduktan sonra, sıcak et veya sebze suyu yavaşça eklenir. Pirinç kremamsı bir kıvama gelene kadar karıştırılarak pişirilir. Son olarak parmesan rendesi ile servis edilir.",24,20,44,6.0,Zor,Hayır,Hayır,"zor, kalabalık aileye uygun",Glütensiz,Tencere
tiramisu,İtalyan Mutfağı – Tatlı,Venice,"mascarpone,espresso,savoiardi bisküvileri,kakao tozu,yumurta,şeker","Savoiardi bisküvileri kahveya batırılır, mascarpone karışımı (yumurta, şeker ve mascarpone) ile katmanlar oluşturulur. Katlar, soğutucuda birkaç saat dinlendirilir. Üzerine incecik kakao serpilir ve tatlı soğuk olarak sunulur.",16,25,41,4.0,Orta,Evet,Hayır,"orta, vejetaryen, tatlı",Glütenli,Fırın
caprese salad,İtalyan Mutfağı – Salata,Capri,"domates,mozzarella,fesleğen,zeytinyağı,tuz","Olgun domates ve taze mozzarella dilimlenir. Fesleğen yaprakları taze olarak eklenir. Zeytinyağı, tuz ve isteğe bağlı balsamik sirke ile tatlandırılır. Taze ve soğuk olarak salata şeklinde servis edilir.",9,0,9,4.0,Kolay,Evet,Evet,"hızlı, kolay, vegan, salata",Glütensiz,Tencere
margherita pizza,İtalyan Mutfağı,Naples,"hamur,domates sosu,mozzarella,fesleğen","Hamur yoğrulur, ince bir şekilde açılır ve domates sosu yayılır. Mozzarella dilimleri ve fesleğen yaprakları eklenir. Yüksek sıcaklıkta fırında kısa süre pişirilir. Kenarları çıtır, içi yumuşak pizza olarak servis edilir.",24,20,44,6.0,Orta,Evet,Evet,"orta, kalabalık aileye uygun, vegan",Glütenli,Fırın
bolognese,İtalyan Mutfağı,Bologna,"kıyma,domates sosu,soğan,havuç,kereviz,makarna","Kıyma, soğan, havuç ve kereviz ince doğranarak kavrulur. Domates sosu eklenip uzun süre pişirilir. Kıyma sosu, haşlanmış makarna ile karıştırılır. Üzerine parmesan serpilerek sıcak servis edilir.",32,20,52,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütenli,Tencere
fettuccine alfredo,İtalyan Mutfağı,Rome,"fettuccine,tereyağı,parmesan,krema","Fettuccine makarna haşlanır, süzülür. Tereyağı, krema ve parmesan, kısık ateşte karıştırılarak pürüzsüz bir sos hazırlanır. Makarnalar bu sosla iyice karıştırılır. Sıcak olarak hemen servis edilir.",22,20,42,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütensiz,Tencere
minestrone soup,İtalyan Mutfağı – Çorba,Tuscany,"sebzeler,fasulye,makarna,domates,zeytinyağı","Mevsim sebzeleri, fasulye, makarna ve domates sosu büyük bir tencerede birleştirilir. Zeytinyağı ve baharatlar eklenir. Karışım, kısık ateşte lezzetlerin birbirine geçmesi için uzun süre pişirilir. Sıcak olarak servis edilir.",23,15,38,4.0,Orta,Evet,Evet,"orta, vegan, çorba",Glütenli,Tencere
osso buco,İtalyan Mutfağı,Milan,"dana incik,sebzeler,beyaz şarap,et suyu,gremolata","Dana incikleri, soğan, havuç ve kerevizle birlikte beyaz şarap ve et suyunda yavaşça pişirilir. Et iyice yumuşadığında, gremolata (limon kabuğu, sarımsak, maydanoz) eklenir. Güveçte uzun süre demlendikten sonra sıcak olarak servis edilir. Yanında risotto önerilir.",34,20,54,6.0,Zor,Hayır,Hayır,"zor, kalabalık aileye uygun",Glütensiz,Tencere
